x,y,phi,k1,k2,s1,s2
0.23120567923746815,0.26237579835668184,-0.3522367144964739,-25.0,-13.367066988606023,0,1
0.2312486311546198,0.2624460658188884,-0.35456962941169085,-25.0,-12.86514775102923,0,1
0.23129688330830206,0.26252217541740014,-0.35711541737350594,-25.0,-12.317447084251725,0,1
0.23135063845670006,0.26260370955557805,-0.35986610426718196,-25.0,-11.72568528277502,0,1
0.2314100560884621,0.2626901606054573,-0.36281128450125033,-25.0,-11.092105915714011,0,1
0.23147524303542957,0.2627809399961145,-0.36593829869086975,-25.0,-10.419437456806836,0,1
0.23154624434895504,0.2628753893943077,-0.3692324430154036,-25.0,-9.710848090115904,0,1
0.23162303501615886,0.26297279380090766,-0.372677206779938,-25.0,-8.969894444262161,0,1
0.2317055130823859,0.2630723962762019,-0.3762545339050586,-25.0,-8.200465181706015,0,1
0.23179349469618066,0.26317341390074805,-0.3799451034130938,-25.0,-7.406720510775561,0,1
0.23188671150489587,0.2632750544855412,-0.3837286234875683,-25.0,-6.593028793531632,0,1
0.23198481070772933,0.2633765334751458,-0.3875841333657056,-25.0,-5.763901490030057,0,1
0.23208735792693436,0.2634770904480882,-0.3914903071855354,-25.0,-4.9239277082613375,0,1
0.23219384289810172,0.26357600461571423,-0.3954257539475853,-25.0,-4.077709619495025,0,1
0.23230368781917182,0.263672608756095,-0.3993693079585192,-25.0,-3.2297999526815286,0,1
0.23241625804780872,0.2637663010919397,-0.40330030448728754,-25.0,-2.3846427018941947,0,1
0.23253087470942524,0.26385655472571273,-0.40719883586545746,-25.0,-1.546518071483499,0,1
0.2326468286826501,0.26394292437306566,-0.41104598388056823,-25.0,-0.7194925494572062,0,1
0.2327633953713289,0.26402505027694345,-0.41482402501980725,-25.0,0.09262515398782112,0,1
0.23287973948143076,0.2641025858269691,-0.41851659696303284,-25.0,0.8863217330689257,0,1
0.23299433012175827,0.26417482744997217,-0.422108785201965,-25.0,1.658410083323811,0,1
0.23310654449736687,0.2642417582417392,-0.425587371446109,-25.0,2.4060530506632616,0,1
0.23321581452440615,0.26430343606487333,-0.4289408420339084,-25.0,3.1267800873091667,0,1
0.23332163411618131,0.26435998348296463,-0.43215943362042974,-25.0,3.818496933381772,0,1
0.23342356432090725,0.264411577117651,-0.43523514761398985,-25.0,4.47948859361072,0,1
0.2335212363493921,0.2644584368986622,-0.43816173522105173,-25.0,5.108416012359193,0,1
0.23361435261704963,0.26450081561560446,-0.4409346554938627,-25.0,5.704306964031646,0,1
0.2337026859913141,0.26453898910560214,-0.4435510092089433,-25.0,6.266541768028014,0,1
0.23378607748175562,0.26457324732989446,-0.4460094517313931,-25.0,6.794834506639453,0,1
0.23386443263677478,0.26460388651132216,-0.44831008823882257,-25.0,7.289210470429891,0,1
0.2339377169198191,0.2646312024284493,-0.4504543547920258,-25.0,7.7499805792743794,0,1
0.23400595033258242,0.2646554848946446,-0.4524448887530436,-25.0,8.17771352958281,0,1
0.23406920153598507,0.26467701339422495,-0.4542853919735735,-25.0,8.573206401162132,0,1
0.23412758169525114,0.2646960538038976,-0.45598049001849317,-25.0,8.937454422959286,0,1
0.23418123824619447,0.2647128560962961,-0.45753559046290776,-25.0,9.27162054821161,0,1
0.23423034874852214,0.2647276529026148,-0.45895674301989847,-25.0,9.577005429148002,0,1
0.23427511496064804,0.26474065880183123,-0.46025050393375944,-25.0,9.855018312252739,0,1
